z_sga_grupo_programa_id;cod_grupo;nome_grupo;gestor;cod_programa;idGrupo;idPrograma;
6522;BS;;super;bs1585;794;bs15852;1
6523;BS6;;super;bs1585;841;bs15852;1
6524;sup;;super;bs1585;2;bs15852;1
6525;BS;;super;bs1590;794;bs15902;1
6526;sup;;super;bs1590;2;bs15902;1
6527;BS;;super;bs1600;794;bs16002;1
6528;BS3;;super;bs1600;838;bs16002;1
6529;sup;;super;bs1600;2;bs16002;1
6530;BS;;super;bs1620;794;bs16202;1
6531;BS3;;super;bs1620;838;bs16202;1
6532;sup;;super;bs1620;2;bs16202;1
6533;BS;;super;bs1640;794;bs16402;1
6534;sup;;super;bs1640;2;bs16402;1
6535;BS;;super;bs1660;794;bs16602;1
6536;sup;;super;bs1660;2;bs16602;1
6537;BS;;super;bs1670;794;bs16702;1
6538;BS6;;super;bs1670;841;bs16702;1
6539;sup;;super;bs1670;2;bs16702;1
6540;BS;;super;bs1680;794;bs16802;1
6541;BS6;;super;bs1680;841;bs16802;1
6542;sup;;super;bs1680;2;bs16802;1
6543;BS;;super;bs1685;794;bs16852;1
6544;BS6;;super;bs1685;841;bs16852;1
6545;sup;;super;bs1685;2;bs16852;1
6546;BS;;super;bs1686;794;bs16862;1
6547;BS6;;super;bs1686;841;bs16862;1
6548;sup;;super;bs1686;2;bs16862;1
6549;BS;;super;bs1690;794;bs16902;1
6550;BS6;;super;bs1690;841;bs16902;1
6551;sup;;super;bs1690;2;bs16902;1
6552;BS;;super;bs1695;794;bs16952;1
6553;BS6;;super;bs1695;841;bs16952;1
6554;sup;;super;bs1695;2;bs16952;1
6555;BS;;super;bs1700;794;bs17002;1
6556;BS6;;super;bs1700;841;bs17002;1
6557;sup;;super;bs1700;2;bs17002;1
6558;BS;;super;bs1710;794;bs17102;1
6559;BS6;;super;bs1710;841;bs17102;1
6560;sup;;super;bs1710;2;bs17102;1
6561;BS;;super;bs1715;794;bs17152;1
6562;BS6;;super;bs1715;841;bs17152;1
6563;sup;;super;bs1715;2;bs17152;1
6564;BS;;super;bs1720;794;bs17202;1
6565;BS6;;super;bs1720;841;bs17202;1
6566;sup;;super;bs1720;2;bs17202;1
6567;BS;;super;bs1725;794;bs17252;1
6568;BS6;;super;bs1725;841;bs17252;1
6569;sup;;super;bs1725;2;bs17252;1
6570;BS;;super;bs1740;794;bs17402;1
6571;BS6;;super;bs1740;841;bs17402;1
6572;sup;;super;bs1740;2;bs17402;1
6573;BS;;super;bs1741;794;bs17412;1
6574;BS6;;super;bs1741;841;bs17412;1
6575;sup;;super;bs1741;2;bs17412;1
6576;BS;;super;bs2000;794;bs20002;1
6577;BS2;;super;bs2000;837;bs20002;1
6578;BS3;;super;bs2000;838;bs20002;1
6579;sup;;super;bs2000;2;bs20002;1
6580;BS;;super;bs2000a;794;bs2000a2;1
6581;BS2;;super;bs2000a;837;bs2000a2;1
6582;BS3;;super;bs2000a;838;bs2000a2;1
6583;BS8;;super;bs2000a;843;bs2000a2;1
6584;BS9;;super;bs2000a;844;bs2000a2;1
6585;sup;;super;bs2000a;2;bs2000a2;1
6586;BS;;super;bs2020;794;bs20202;1
6587;BS2;;super;bs2020;837;bs20202;1
6588;BS3;;super;bs2020;838;bs20202;1
6589;sup;;super;bs2020;2;bs20202;1
6590;BS;;super;bs2080;794;bs20802;1
6591;BS4;;super;bs2080;839;bs20802;1
6592;BS6;;super;bs2080;841;bs20802;1
6593;sup;;super;bs2080;2;bs20802;1
6594;BS;;super;bs2500;794;bs25002;1
6595;BS6;;super;bs2500;841;bs25002;1
6596;sup;;super;bs2500;2;bs25002;1
6597;BS;;super;bs2520;794;bs25202;1
6598;BS9;;super;bs2520;844;bs25202;1
6599;sup;;super;bs2520;2;bs25202;1
6600;BS;;super;BS2520A;794;BS2520A2;1
6601;BS9;;super;BS2520A;844;BS2520A2;1
6602;sup;;super;BS2520A;2;BS2520A2;1
6603;BS;;super;BS2520B;794;BS2520B2;1
6604;BS9;;super;BS2520B;844;BS2520B2;1
6605;sup;;super;BS2520B;2;BS2520B2;1
6606;BS;;super;bs2540;794;bs25402;1
6607;BS6;;super;bs2540;841;bs25402;1
6608;sup;;super;bs2540;2;bs25402;1
6609;BS;;super;bs2570;794;bs25702;1
6610;BS9;;super;bs2570;844;bs25702;1
6611;sup;;super;bs2570;2;bs25702;1
6612;BS;;super;bs3000;794;bs30002;1
6613;BS2;;super;bs3000;837;bs30002;1
6614;BS3;;super;bs3000;838;bs30002;1
6615;sup;;super;bs3000;2;bs30002;1
6616;BS;;super;bs3020;794;bs30202;1
6617;BS9;;super;bs3020;844;bs30202;1
6618;sup;;super;bs3020;2;bs30202;1
6619;BS;;super;bs3040;794;bs30402;1
6620;sup;;super;bs3040;2;bs30402;1
6621;BS;;super;BS3050;794;BS30502;1
6622;sup;;super;BS3050;2;BS30502;1
6623;BS;;super;bs3060;794;bs30602;1
6624;sup;;super;bs3060;2;bs30602;1
6625;BS;;super;bs3070;794;bs30702;1
6626;sup;;super;bs3070;2;bs30702;1
6627;BS;;super;bs3080;794;bs30802;1
6628;BS9;;super;bs3080;844;bs30802;1
6629;sup;;super;bs3080;2;bs30802;1
6630;BS;;super;bs3081;794;bs30812;1
6631;BS6;;super;bs3081;841;bs30812;1
6632;sup;;super;bs3081;2;bs30812;1
6633;BS;;super;bs3082;794;bs30822;1
6634;BS6;;super;bs3082;841;bs30822;1
6635;sup;;super;bs3082;2;bs30822;1
6636;BS;;super;bs3090;794;bs30902;1
6637;sup;;super;bs3090;2;bs30902;1
6638;BS;;super;BS3100;794;BS31002;1
6639;sup;;super;BS3100;2;BS31002;1
6640;BS;;super;bs3110;794;bs31102;1
6641;sup;;super;bs3110;2;bs31102;1
6642;BS;;super;BS3120;794;BS31202;1
6643;sup;;super;BS3120;2;BS31202;1
6644;BS;;super;BS3140;794;BS31402;1
6645;sup;;super;BS3140;2;BS31402;1
6646;BS;;super;BS3150;794;BS31502;1
6647;sup;;super;BS3150;2;BS31502;1
6648;BS;;super;BS3160;794;BS31602;1
6649;sup;;super;BS3160;2;BS31602;1
6650;BS;;super;bs3170;794;bs31702;1
6651;sup;;super;bs3170;2;bs31702;1
6652;BS;;super;bs3180;794;bs31802;1
6653;sup;;super;bs3180;2;bs31802;1
6654;BS;;super;bs3190;794;bs31902;1
6655;sup;;super;bs3190;2;bs31902;1
6656;BS;;super;bs3200;794;bs32002;1
6657;sup;;super;bs3200;2;bs32002;1
6658;BS;;super;bs3210;794;bs32102;1
6659;sup;;super;bs3210;2;bs32102;1
6660;BS;;super;bs3220;794;bs32202;1
6661;sup;;super;bs3220;2;bs32202;1
6662;BS;;super;bs3230;794;bs32302;1
6663;sup;;super;bs3230;2;bs32302;1
6664;BS;;super;bs3240;794;bs32402;1
6665;sup;;super;bs3240;2;bs32402;1
6666;BS;;super;bs3240a;794;bs3240a2;1
6667;BS9;;super;bs3240a;844;bs3240a2;1
6668;sup;;super;bs3240a;2;bs3240a2;1
6669;BS;;super;bs3240b;794;bs3240b2;1
6670;BS9;;super;bs3240b;844;bs3240b2;1
6671;sup;;super;bs3240b;2;bs3240b2;1
6672;BS;;super;BS3260;794;BS32602;1
6673;sup;;super;BS3260;2;BS32602;1
6674;BS;;super;bs3300;794;bs33002;1
6675;sup;;super;bs3300;2;bs33002;1
6676;BS;;super;bs3310;794;bs33102;1
6677;sup;;super;bs3310;2;bs33102;1
6678;sup;;super;bs3315;2;bs33152;1
6679;BS;;super;bs3320;794;bs33202;1
6680;sup;;super;bs3320;2;bs33202;1
6681;BS;;super;bs3330;794;bs33302;1
6682;sup;;super;bs3330;2;bs33302;1
6683;BS;;super;bs3500;794;bs35002;1
6684;sup;;super;bs3500;2;bs35002;1
6685;BS;;super;bs3520;794;bs35202;1
6686;BS9;;super;bs3520;844;bs35202;1
6687;sup;;super;bs3520;2;bs35202;1
6688;BS;;super;bs4000;794;bs40002;1
6689;sup;;super;bs4000;2;bs40002;1
6690;BS;;super;bs4020;794;bs40202;1
6691;sup;;super;bs4020;2;bs40202;1
6692;BS;;super;bs4500;794;bs45002;1
6693;BS6;;super;bs4500;841;bs45002;1
6694;sup;;super;bs4500;2;bs45002;1
6695;BS;;super;bs4520;794;bs45202;1
6696;BS6;;super;bs4520;841;bs45202;1
6697;sup;;super;bs4520;2;bs45202;1
6698;BS;;super;bs4540;794;bs45402;1
6699;BS6;;super;bs4540;841;bs45402;1
6700;sup;;super;bs4540;2;bs45402;1
6701;BS;;super;bs4550;794;bs45502;1
6702;BS5;;super;bs4550;840;bs45502;1
6703;BS6;;super;bs4550;841;bs45502;1
6704;sup;;super;bs4550;2;bs45502;1
6705;BS;;super;bs4555;794;bs45552;1
6706;BS6;;super;bs4555;841;bs45552;1
6707;sup;;super;bs4555;2;bs45552;1
6708;BS;;super;bs4556;794;bs45562;1
6709;BS6;;super;bs4556;841;bs45562;1
6710;sup;;super;bs4556;2;bs45562;1
6711;BS;;super;bs4580;794;bs45802;1
6712;BS6;;super;bs4580;841;bs45802;1
6713;sup;;super;bs4580;2;bs45802;1
6714;BS;;super;bs5547;794;bs55472;1
6715;sup;;super;bs5547;2;bs55472;1
6716;BS;;super;bs5611;794;bs56112;1
6717;sup;;super;bs5611;2;bs56112;1
6718;BS;;super;bs5821;794;bs58212;1
6719;sup;;super;bs5821;2;bs58212;1
6720;BS;;super;bs5823;794;bs58232;1
6721;sup;;super;bs5823;2;bs58232;1
6722;BS;;super;bs5826;794;bs58262;1
6723;sup;;super;bs5826;2;bs58262;1
6724;BS;;super;bs5831;794;bs58312;1
6725;sup;;super;bs5831;2;bs58312;1
6726;BS;;super;BS9000;794;BS90002;1
6727;BS9;;super;BS9000;844;BS90002;1
6728;sup;;super;BS9000;2;BS90002;1
6729;BS;;super;BS9001;794;BS90012;1
6730;BS6;;super;BS9001;841;BS90012;1
6731;sup;;super;BS9001;2;BS90012;1
6732;BS;;super;BS9020;794;BS90202;1
6733;BS9;;super;BS9020;844;BS90202;1
6734;sup;;super;BS9020;2;BS90202;1
6735;BS;;super;BS9021;794;BS90212;1
6736;BS6;;super;BS9021;841;BS90212;1
6737;sup;;super;BS9021;2;BS90212;1
6738;BS;;super;BS9040;794;BS90402;1
6739;BS9;;super;BS9040;844;BS90402;1
6740;sup;;super;BS9040;2;BS90402;1
6741;BS;;super;BS9041;794;BS90412;1
6742;BS6;;super;BS9041;841;BS90412;1
6743;sup;;super;BS9041;2;BS90412;1
6744;BS;;super;BS9060;794;BS90602;1
6745;BS9;;super;BS9060;844;BS90602;1
6746;sup;;super;BS9060;2;BS90602;1
6747;BS;;super;BS9061;794;BS90612;1
6748;BS6;;super;BS9061;841;BS90612;1
6749;sup;;super;BS9061;2;BS90612;1
6750;BS;;super;BS9080;794;BS90802;1
6751;BS9;;super;BS9080;844;BS90802;1
6752;sup;;super;BS9080;2;BS90802;1
6753;BS;;super;BS9081;794;BS90812;1
6754;BS6;;super;BS9081;841;BS90812;1
6755;sup;;super;BS9081;2;BS90812;1
6756;BS;;super;BS9100;794;BS91002;1
6757;sup;;super;BS9100;2;BS91002;1
6758;BS;;super;BS9120;794;BS91202;1
6759;sup;;super;BS9120;2;BS91202;1
6760;BS;;super;bsr001;794;bsr0012;1
6761;BS6;;super;bsr001;841;bsr0012;1
6762;sup;;super;bsr001;2;bsr0012;1
6763;BS;;super;bsr001b;794;bsr001b2;1
6764;BS9;;super;bsr001b;844;bsr001b2;1
6765;sup;;super;bsr001b;2;bsr001b2;1
6766;BS;;super;bsr005;794;bsr0052;1
6767;BS9;;super;bsr005;844;bsr0052;1
6768;sup;;super;bsr005;2;bsr0052;1
6769;BS;;super;bsr005a;794;bsr005a2;1
6770;BS9;;super;bsr005a;844;bsr005a2;1
6771;sup;;super;bsr005a;2;bsr005a2;1
6772;BS;;super;bsr005b;794;bsr005b2;1
6773;BS9;;super;bsr005b;844;bsr005b2;1
6774;sup;;super;bsr005b;2;bsr005b2;1
6775;BS;;super;bsr005c;794;bsr005c2;1
6776;BS9;;super;bsr005c;844;bsr005c2;1
6777;sup;;super;bsr005c;2;bsr005c2;1
6778;sup;;super;btb010aa;2;btb010aa2;1
6779;FN0;;super;btb013aa;418;btb013aa2;1
6780;sup;;super;btb013aa;2;btb013aa2;1
6781;FN0;;super;btb013ca;418;btb013ca2;1
6782;sup;;super;btb013ca;2;btb013ca2;1
6783;FN0;;super;btb013ia.p;418;btb013ia.p2;1
6784;sup;;super;btb013ia.p;2;btb013ia.p2;1
6785;FN0;;super;btb013ka.p;418;btb013ka.p2;1
6786;sup;;super;btb013ka.p;2;btb013ka.p2;1
6787;FN0;;super;btb013zb;418;btb013zb2;1
6788;sup;;super;btb013zb;2;btb013zb2;1
6789;FN0;;super;btb034za;418;btb034za2;1
6790;sup;;super;btb034za;2;btb034za2;1
6791;FN0;;super;btb183aa;418;btb183aa2;1
6792;sup;;super;btb183aa;2;btb183aa2;1
6793;ASB;;super;btb311aa;888;btb311aa2;1
6794;FN0;;super;btb311aa;418;btb311aa2;1
6795;sup;;super;btb311aa;2;btb311aa2;1
6796;FN0;;super;btb704aa;418;btb704aa2;1
6797;sup;;super;btb704aa;2;btb704aa2;1
6798;wdk;;super;btb704aa;64;btb704aa2;1
6799;sup;;super;btb860aa;2;btb860aa2;1
6800;sup;;super;btb860ab;2;btb860ab2;1
6801;sup;;super;btb860ac;2;btb860ac2;1
6802;sup;;super;btb860ad;2;btb860ad2;1
6803;sup;;super;btb860ae;2;btb860ae2;1
6804;sup;;super;btb860af;2;btb860af2;1
6805;ASB;;super;btb901zg;888;btb901zg2;1
6806;FN0;;super;btb901zg;418;btb901zg2;1
6807;sup;;super;btb901zg;2;btb901zg2;1
6808;FN0;;super;btb910ze;418;btb910ze2;1
6809;sup;;super;btb910ze;2;btb910ze2;1
6810;CE7;;super;btb911zc;345;btb911zc2;1
6811;Con;;super;btb911zc;66;btb911zc2;1
6812;FN0;;super;btb911zc;418;btb911zc2;1
6813;FP2;;super;btb911zc;410;btb911zc2;1
6814;MPE;;super;btb911zc;829;btb911zc2;1
6815;sup;;super;btb911zc;2;btb911zc2;1
6816;FN0;;super;btb927aa;418;btb927aa2;1
6817;sup;;super;btb927aa;2;btb927aa2;1
6818;FN0;;super;btb931za;418;btb931za2;1
6819;sup;;super;btb931za;2;btb931za2;1
6820;FN0;;super;btb932za;418;btb932za2;1
6821;sup;;super;btb932za;2;btb932za2;1
6822;FN0;;super;btb932zd;418;btb932zd2;1
6823;sup;;super;btb932zd;2;btb932zd2;1
6824;sup;;super;btb934aa;2;btb934aa2;1
6825;sup;;super;btb934ze;2;btb934ze2;1
6826;FN0;;super;btb945za;418;btb945za2;1
6827;sup;;super;btb945za;2;btb945za2;1
6828;FN0;;super;btb946aa;418;btb946aa2;1
6829;sup;;super;btb946aa;2;btb946aa2;1
6830;FN0;;super;Btb948aa;418;Btb948aa2;1
6831;sup;;super;Btb948aa;2;Btb948aa2;1
6832;FN0;;super;btb962aa;418;btb962aa2;1
6833;sup;;super;btb962aa;2;btb962aa2;1
6834;*;;super;btb962ad;1;btb962ad2;1
6835;FN0;;super;btb962ad;418;btb962ad2;1
6836;sup;;super;btb962ad;2;btb962ad2;1
6837;FN0;;super;btb962ae;418;btb962ae2;1
6838;sup;;super;btb962ae;2;btb962ae2;1
6839;FN0;;super;btb962zb;418;btb962zb2;1
6840;sup;;super;btb962zb;2;btb962zb2;1
6841;FN0;;super;btb990;418;btb9902;1
6842;sup;;super;btb990;2;btb9902;1
6843;FN0;;super;btb991;418;btb9912;1
6844;sup;;super;btb991;2;btb9912;1
6845;ASB;;super;btr001aa;888;btr001aa2;1
6846;FN0;;super;btr001aa;418;btr001aa2;1
6847;sup;;super;btr001aa;2;btr001aa2;1
6848;ASB;;super;btr002aa;888;btr002aa2;1
6849;FN0;;super;btr002aa;418;btr002aa2;1
6850;sup;;super;btr002aa;2;btr002aa2;1
6851;ASB;;super;btr003aa;888;btr003aa2;1
6852;FN0;;super;btr003aa;418;btr003aa2;1
6853;sup;;super;btr003aa;2;btr003aa2;1
6854;ASB;;super;btr004aa;888;btr004aa2;1
6855;FN0;;super;btr004aa;418;btr004aa2;1
6856;sup;;super;btr004aa;2;btr004aa2;1
6857;ASB;;super;btr005aa;888;btr005aa2;1
6858;FN0;;super;btr005aa;418;btr005aa2;1
6859;sup;;super;btr005aa;2;btr005aa2;1
6860;ASB;;super;btr006aa;888;btr006aa2;1
6861;FN0;;super;btr006aa;418;btr006aa2;1
6862;sup;;super;btr006aa;2;btr006aa2;1
6863;ASB;;super;btr007aa;888;btr007aa2;1
6864;FN0;;super;btr007aa;418;btr007aa2;1
6865;sup;;super;btr007aa;2;btr007aa2;1
6866;ASB;;super;btr008aa;888;btr008aa2;1
6867;FN0;;super;btr008aa;418;btr008aa2;1
6868;sup;;super;btr008aa;2;btr008aa2;1
6869;ASB;;super;btr009aa;888;btr009aa2;1
6870;FN0;;super;btr009aa;418;btr009aa2;1
6871;sup;;super;btr009aa;2;btr009aa2;1
6872;ASB;;super;btr010aa;888;btr010aa2;1
6873;FN0;;super;btr010aa;418;btr010aa2;1
6874;sup;;super;btr010aa;2;btr010aa2;1
6875;ASB;;super;btr011aa;888;btr011aa2;1
6876;FN0;;super;btr011aa;418;btr011aa2;1
6877;sup;;super;btr011aa;2;btr011aa2;1
6878;ASB;;super;btr012ab;888;btr012ab2;1
6879;FN0;;super;btr012ab;418;btr012ab2;1
6880;sup;;super;btr012ab;2;btr012ab2;1
6881;ASB;;super;btr013aa;888;btr013aa2;1
6882;FN0;;super;btr013aa;418;btr013aa2;1
6883;sup;;super;btr013aa;2;btr013aa2;1
6884;ASB;;super;btr014;888;btr0142;1
6885;FN0;;super;btr014;418;btr0142;1
6886;sup;;super;btr014;2;btr0142;1
6887;FN0;;super;btr014a;418;btr014a2;1
6888;sup;;super;btr014a;2;btr014a2;1
6889;FN0;;super;btr015;418;btr0152;1
6890;sup;;super;btr015;2;btr0152;1
6891;CA9;;super;ca0001;807;ca00012;1
6892;sup;;super;ca0001;2;ca00012;1
6893;tre;;super;ca0001;63;ca00012;1
6894;CA9;;super;ca0001a;807;ca0001a2;1
6895;sup;;super;ca0001a;2;ca0001a2;1
6896;tre;;super;ca0001a;63;ca0001a2;1
6897;CA9;;super;ca0001c;807;ca0001c2;1
6898;sup;;super;ca0001c;2;ca0001c2;1
6899;tre;;super;ca0001c;63;ca0001c2;1
6900;CA9;;super;ca0001g;807;ca0001g2;1
6901;sup;;super;ca0001g;2;ca0001g2;1
6902;tre;;super;ca0001g;63;ca0001g2;1
6903;CA9;;super;ca0001h;807;ca0001h2;1
6904;sup;;super;ca0001h;2;ca0001h2;1
6905;tre;;super;ca0001h;63;ca0001h2;1
6906;CA9;;super;ca0001i;807;ca0001i2;1
6907;sup;;super;ca0001i;2;ca0001i2;1
6908;tre;;super;ca0001i;63;ca0001i2;1
6909;CA9;;super;ca0002;807;ca00022;1
6910;sup;;super;ca0002;2;ca00022;1
6911;CA9;;super;ca0002a;807;ca0002a2;1
6912;sup;;super;ca0002a;2;ca0002a2;1
6913;CA9;;super;ca0002b;807;ca0002b2;1
6914;sup;;super;ca0002b;2;ca0002b2;1
6915;CA9;;super;ca0002c;807;ca0002c2;1
6916;sup;;super;ca0002c;2;ca0002c2;1
6917;CA9;;super;ca0003;807;ca00032;1
6918;sup;;super;ca0003;2;ca00032;1
6919;ESO;;super;ca0004;920;ca00042;1
6920;sup;;super;ca0004;2;ca00042;1
6921;sup;;super;ca0005;2;ca00052;1
6922;sup;;super;ca0005a;2;ca0005a2;1
6923;sup;;super;ca0005b;2;ca0005b2;1
6924;sup;;super;ca0006;2;ca00062;1
6925;CA9;;super;ca0007;807;ca00072;1
6926;sup;;super;ca0007;2;ca00072;1
6927;sup;;super;ca0008;2;ca00082;1
6928;sup;;super;ca0008a;2;ca0008a2;1
6929;sup;;super;ca0008b;2;ca0008b2;1
6930;ESO;;super;ca0009;920;ca00092;1
6931;sup;;super;ca0009;2;ca00092;1
6932;sup;;super;ca0010;2;ca00102;1
6933;sup;;super;ca0010a;2;ca0010a2;1
6934;sup;;super;ca0010b;2;ca0010b2;1
6935;sup;;super;ca0010c;2;ca0010c2;1
6936;ESO;;super;ca0011;920;ca00112;1
6937;sup;;super;ca0011;2;ca00112;1
6938;sup;;super;ca0011a;2;ca0011a2;1
6939;sup;;super;ca0011b;2;ca0011b2;1
6940;sup;;super;ca0011c;2;ca0011c2;1
6941;sup;;super;ca0012;2;ca00122;1
6942;sup;;super;ca0012a;2;ca0012a2;1
6943;sup;;super;ca0012b;2;ca0012b2;1
6944;sup;;super;ca0013;2;ca00132;1
6945;sup;;super;ca0014;2;ca00142;1
6946;sup;;super;ca0014b;2;ca0014b2;1
6947;sup;;super;ca0015;2;ca00152;1
6948;sup;;super;ca0015a;2;ca0015a2;1
6949;sup;;super;ca0015b;2;ca0015b2;1
6950;sup;;super;ca0015c;2;ca0015c2;1
6951;sup;;super;ca0016;2;ca00162;1
6952;sup;;super;ca0016a;2;ca0016a2;1
6953;sup;;super;ca0016b;2;ca0016b2;1
6954;sup;;super;ca0017;2;ca00172;1
6955;sup;;super;ca0017a;2;ca0017a2;1
6956;sup;;super;ca0018;2;ca00182;1
6957;sup;;super;Ca0019;2;Ca00192;1
6958;sup;;super;ca0020;2;ca00202;1
6959;sup;;super;CA0021;2;CA00212;1
6960;sup;;super;ca0021a;2;ca0021a2;1
6961;sup;;super;ca0021b;2;ca0021b2;1
6962;sup;;super;ca0022;2;ca00222;1
6963;sup;;super;ca0023;2;ca00232;1
6964;sup;;super;ca0026;2;ca00262;1
6965;sup;;super;ca0027;2;ca00272;1
6966;sup;;super;ca0027a;2;ca0027a2;1
6967;sup;;super;ca0027b;2;ca0027b2;1
6968;sup;;super;ca0028;2;ca00282;1
6969;sup;;super;ca0031;2;ca00312;1
6970;sup;;super;ca0032;2;ca00322;1
6971;sup;;super;ca0032a;2;ca0032a2;1
6972;sup;;super;ca0033;2;ca00332;1
6973;sup;;super;ca0034;2;ca00342;1
6974;sup;;super;ca0034a;2;ca0034a2;1
6975;sup;;super;ca0044;2;ca00442;1
6976;HCM;;super;ca0050;688;ca00502;1
6977;sup;;super;ca0050;2;ca00502;1
6978;sup;;super;ca0050a;2;ca0050a2;1
6979;sup;;super;ca0050b;2;ca0050b2;1
6980;sup;;super;ca0050e;2;ca0050e2;1
6981;HCM;;super;ca0060;688;ca00602;1
6982;sup;;super;ca0060;2;ca00602;1
6983;sup;;super;ca0060a;2;ca0060a2;1
6984;sup;;super;ca0060b;2;ca0060b2;1
6985;ESO;;super;ca0065;920;ca00652;1
6986;sup;;super;ca0065;2;ca00652;1
6987;sup;;super;ca0065a;2;ca0065a2;1
6988;sup;;super;ca0065b;2;ca0065b2;1
6989;sup;;super;ca0065c;2;ca0065c2;1
6990;sup;;super;ca0065d;2;ca0065d2;1
6991;HCM;;super;ca0068;688;ca00682;1
6992;sup;;super;ca0068;2;ca00682;1
6993;sup;;super;ca0068a;2;ca0068a2;1
6994;sup;;super;ca0068b;2;ca0068b2;1
6995;sup;;super;ca0068c;2;ca0068c2;1
6996;sup;;super;ca0068d;2;ca0068d2;1
6997;HCM;;super;ca0070;688;ca00702;1
6998;sup;;super;ca0070;2;ca00702;1
6999;ESO;;super;ca0084;920;ca00842;1
7000;sup;;super;ca0084;2;ca00842;1
7001;sup;;super;ca0084a;2;ca0084a2;1
7002;sup;;super;ca0084b;2;ca0084b2;1
7003;sup;;super;ca0084c;2;ca0084c2;1
7004;HCI;;super;ca0111;808;ca01112;1
7005;HCM;;super;ca0111;688;ca01112;1
7006;sup;;super;ca0111;2;ca01112;1
7007;HCI;;super;ca0112;808;ca01122;1
7008;HCM;;super;ca0112;688;ca01122;1
7009;sup;;super;ca0112;2;ca01122;1
7010;HCI;;super;ca0113;808;ca01132;1
7011;HCM;;super;ca0113;688;ca01132;1
7012;sup;;super;ca0113;2;ca01132;1
7013;HCI;;super;ca0201;808;ca02012;1
7014;HCM;;super;ca0201;688;ca02012;1
7015;sup;;super;ca0201;2;ca02012;1
7016;tre;;super;ca0201;63;ca02012;1
7017;HCI;;super;ca0202;808;ca02022;1
7018;HCM;;super;ca0202;688;ca02022;1
7019;sup;;super;ca0202;2;ca02022;1
7020;tre;;super;ca0202;63;ca02022;1
7021;HCI;;super;ca0203;808;ca02032;1
7022;HCM;;super;ca0203;688;ca02032;1
7023;sup;;super;ca0203;2;ca02032;1
7024;HCM;;super;ca0204;688;ca02042;1
7025;sup;;super;ca0204;2;ca02042;1
7026;HCI;;super;ca0205;808;ca02052;1
7027;HCM;;super;ca0205;688;ca02052;1
7028;sup;;super;ca0205;2;ca02052;1
7029;HCI;;super;ca0206;808;ca02062;1
7030;HCM;;super;ca0206;688;ca02062;1
7031;sup;;super;ca0206;2;ca02062;1
7032;HCI;;super;ca0207;808;ca02072;1
7033;HCM;;super;ca0207;688;ca02072;1
7034;sup;;super;ca0207;2;ca02072;1
7035;HCI;;super;ca0208;808;ca02082;1
7036;HCM;;super;ca0208;688;ca02082;1
7037;sup;;super;ca0208;2;ca02082;1
7038;HCI;;super;ca0209;808;ca02092;1
7039;HCM;;super;ca0209;688;ca02092;1
7040;sup;;super;ca0209;2;ca02092;1
7041;HCI;;super;ca0210;808;ca02102;1
7042;HCM;;super;ca0210;688;ca02102;1
7043;sup;;super;ca0210;2;ca02102;1
7044;HCI;;super;ca0211;808;ca02112;1
7045;HCM;;super;ca0211;688;ca02112;1
7046;sup;;super;ca0211;2;ca02112;1
7047;HCI;;super;ca0212;808;ca02122;1
7048;HCM;;super;ca0212;688;ca02122;1
7049;sup;;super;ca0212;2;ca02122;1
7050;HCI;;super;ca0213;808;ca02132;1
7051;HCM;;super;ca0213;688;ca02132;1
7052;sup;;super;ca0213;2;ca02132;1
7053;HCM;;super;ca0214;688;ca02142;1
7054;sup;;super;ca0214;2;ca02142;1
7055;HCM;;super;ca0215;688;ca02152;1
7056;sup;;super;ca0215;2;ca02152;1
7057;HCM;;super;ca0216;688;ca02162;1
7058;sup;;super;ca0216;2;ca02162;1
7059;sup;;super;ca0216a;2;ca0216a2;1
7060;HCM;;super;Ca0217;688;Ca02172;1
7061;sup;;super;Ca0217;2;Ca02172;1
7062;HCM;;super;ca0219;688;ca02192;1
7063;sup;;super;ca0219;2;ca02192;1
7064;HCM;;super;ca0220;688;ca02202;1
7065;sup;;super;ca0220;2;ca02202;1
7066;HCM;;super;ca0221;688;ca02212;1
7067;sup;;super;ca0221;2;ca02212;1
7068;HCM;;super;ca0226;688;ca02262;1
7069;sup;;super;ca0226;2;ca02262;1
7070;HCM;;super;ca0227;688;ca02272;1
7071;sup;;super;ca0227;2;ca02272;1
7072;HCM;;super;ca0231;688;ca02312;1
7073;sup;;super;ca0231;2;ca02312;1
7074;HCI;;super;ca0233;808;ca02332;1
7075;HCM;;super;ca0233;688;ca02332;1
7076;sup;;super;ca0233;2;ca02332;1
7077;HCM;;super;ca0244;688;ca02442;1
7078;sup;;super;ca0244;2;ca02442;1
7079;HCM;;super;ca0260;688;ca02602;1
7080;sup;;super;ca0260;2;ca02602;1
7081;HCM;;super;ca0270;688;ca02702;1
7082;sup;;super;ca0270;2;ca02702;1
7083;HCM;;super;ca0295;688;ca02952;1
7084;sup;;super;ca0295;2;ca02952;1
7085;HCM;;super;ca0296;688;ca02962;1
7086;sup;;super;ca0296;2;ca02962;1
7087;HCM;;super;ca0301;688;ca03012;1
7088;sup;;super;ca0301;2;ca03012;1
7089;tre;;super;ca0301;63;ca03012;1
7090;HCM;;super;ca0302;688;ca03022;1
7091;sup;;super;ca0302;2;ca03022;1
7092;tre;;super;ca0302;63;ca03022;1
7093;HCM;;super;ca0303;688;ca03032;1
