z_sga_grupo_programa_id;cod_grupo;nome_grupo;gestor;cod_programa;idGrupo;idPrograma;
98;sup;;super;ab0507;2;ab05072;1
99;ASB;;super;ab0508;888;ab05082;1
100;Fro;;super;ab0508;73;ab05082;1
101;sup;;super;ab0508;2;ab05082;1
102;ASB;;super;ab0601;888;ab06012;1
103;Fro;;super;ab0601;73;ab06012;1
104;sup;;super;ab0601;2;ab06012;1
105;AB4;;super;ab0602;82;ab06022;1
106;AB5;;super;ab0602;83;ab06022;1
107;ASB;;super;ab0602;888;ab06022;1
108;Fro;;super;ab0602;73;ab06022;1
109;sup;;super;ab0602;2;ab06022;1
110;ASB;;super;ab0604;888;ab06042;1
111;Fro;;super;ab0604;73;ab06042;1
112;sup;;super;ab0604;2;ab06042;1
113;ASB;;super;ab0606;888;ab06062;1
114;Fro;;super;ab0606;73;ab06062;1
115;sup;;super;ab0606;2;ab06062;1
116;AB4;;super;ab0608;82;ab06082;1
117;ASB;;super;ab0608;888;ab06082;1
118;Fro;;super;ab0608;73;ab06082;1
119;sup;;super;ab0608;2;ab06082;1
120;AB4;;super;ab0609;82;ab06092;1
121;ASB;;super;ab0609;888;ab06092;1
122;Fro;;super;ab0609;73;ab06092;1
123;sup;;super;ab0609;2;ab06092;1
124;AB4;;super;ab0611;82;ab06112;1
125;ASB;;super;ab0611;888;ab06112;1
126;Fro;;super;ab0611;73;ab06112;1
127;sup;;super;ab0611;2;ab06112;1
128;ASB;;super;ab0612;888;ab06122;1
129;Fro;;super;ab0612;73;ab06122;1
130;sup;;super;ab0612;2;ab06122;1
131;ASB;;super;ab0613;888;ab06132;1
132;Fro;;super;ab0613;73;ab06132;1
133;sup;;super;ab0613;2;ab06132;1
134;ASB;;super;ab0614;888;ab06142;1
135;Fro;;super;ab0614;73;ab06142;1
136;sup;;super;ab0614;2;ab06142;1
137;ASB;;super;ab0616;888;ab06162;1
138;Fro;;super;ab0616;73;ab06162;1
139;sup;;super;ab0616;2;ab06162;1
140;AB4;;super;ab0618;82;ab06182;1
141;AB5;;super;ab0618;83;ab06182;1
142;ASB;;super;ab0618;888;ab06182;1
143;Fro;;super;ab0618;73;ab06182;1
